Stock Name,Sector,Classification,Month,Net Qty Bought,Approx. Buy Value(In Rs. cr) *
Interglobe Aviation Ltd.,Travel,Large-Cap,December-2025,11382771,6238.36
ICICI Prudential Asset Management Company Ltd.,Financials,Large-Cap,December-2025,22559732,6003.37
Swiggy Ltd.,Retail and Other Services,Mid-Cap,December-2025,144925132,5540.13
ICICI Bank Ltd.,Financials,Large-Cap,December-2025,32086568,4382.53
Meesho Ltd.,Retail and Other Services,Mid-Cap,December-2025,204146091,3679.12
HDFC Bank Ltd.,Financials,Large-Cap,December-2025,35978713,3595.70
ITC Ltd.,FMCG,Large-Cap,December-2025,74921572,3024.10
Bank Of Maharashtra,Financials,Mid-Cap,December-2025,301827262,1820.17
Shriram Finance Ltd.,Financials,Large-Cap,December-2025,18942086,1750.11
Power Grid Corporation Of India Ltd.,Energy,Large-Cap,December-2025,61441119,1642.13
Adani Green Energy Ltd.,Energy,Large-Cap,December-2025,15564016,1605.66
JSW Energy Ltd.,Energy,Mid-Cap,December-2025,30757042,1493.41
Eternal Ltd.,Retail and Other Services,Large-Cap,December-2025,43559690,1259.19
Axis Bank Ltd.,Financials,Large-Cap,December-2025,9296619,1184.90
Hindustan Aeronautics Ltd.,Capital Goods,Large-Cap,December-2025,2487649,1110.87
Trent Ltd.,Retail and Other Services,Large-Cap,December-2025,2560757,1092.08
Ultratech Cement Ltd.,Construction,Large-Cap,December-2025,852822,997.13
ICICI Prudential Life Insurance Company Ltd.,Financials,Mid-Cap,December-2025,13878053,893.75
Belrise Industries Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,50065679,883.48
JSW Steel Ltd.,Metals,Large-Cap,December-2025,7024187,816.60
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,Large-Cap,December-2025,2142148,799.73
Varun Beverages Ltd.,FMCG,Large-Cap,December-2025,16199349,786.80
Privi Speciality Chemicals Ltd.,Chemicals,Small-Cap,December-2025,2351657,700.56
Titan Company Ltd.,Retail and Other Services,Large-Cap,December-2025,1737858,691.60
Vodafone Idea Ltd.,Media and Communications,Mid-Cap,December-2025,652261657,675.74
HDFC Life Insurance Company Ltd.,Financials,Large-Cap,December-2025,8615325,652.24
Tata Steel Ltd.,Metals,Large-Cap,December-2025,37371300,650.31
NTPC Ltd.,Energy,Large-Cap,December-2025,19780251,648.80
Tech Mahindra Ltd.,Technology,Large-Cap,December-2025,3958269,615.16
Akzo Nobel India Ltd.,Chemicals,Small-Cap,December-2025,1860933,603.70
Patanjali Foods Ltd.,FMCG,Mid-Cap,December-2025,10770738,599.74
Cholamandalam Investment and Finance Company Ltd.,Financials,Large-Cap,December-2025,3331061,572.64
CORONA Remedies Ltd.,Healthcare,Small-Cap,December-2025,3900000,540.11
Tube Investments of India Ltd.,Automobile and Ancillaries,Mid-Cap,December-2025,1978894,534.15
The Federal Bank Ltd.,Financials,Mid-Cap,December-2025,20108545,527.87
Mankind Pharma Ltd.,Healthcare,Mid-Cap,December-2025,2363508,525.59
Wakefit Innovations Ltd.,FMCG,Small-Cap,December-2025,27870768,514.05
ITC Hotels Ltd.,Travel,Mid-Cap,December-2025,24986700,507.39
Aequs Ltd.,Capital Goods,Small-Cap,December-2025,33562314,461.45
Jindal Steel Ltd.,Metals,Mid-Cap,December-2025,4292688,450.35
Kotak Mahindra Bank Ltd.,Financials,Large-Cap,December-2025,2063918,446.37
Laurus Labs Ltd.,Healthcare,Mid-Cap,December-2025,4099365,438.50
Bajaj Holdings & Investment Ltd.,Financials,Large-Cap,December-2025,382744,436.84
Bajaj Finserv Ltd.,Financials,Large-Cap,December-2025,2078837,429.68
Vishal Mega Mart Ltd.,Retail and Other Services,Mid-Cap,December-2025,30601568,416.44
Jubilant FoodWorks Ltd.,FMCG,Mid-Cap,December-2025,6795045,394.15
Punjab National Bank,Financials,Large-Cap,December-2025,31688864,393.07
Page Industries Ltd.,Textile,Mid-Cap,December-2025,105467,392.15
HDFC Asset Management Company Ltd.,Financials,Large-Cap,December-2025,1458958,389.92
Lodha Developers Ltd.,Construction,Large-Cap,December-2025,3387775,374.26
PB Fintech Ltd.,Financials,Mid-Cap,December-2025,2008647,366.03
Suzlon Energy Ltd.,Capital Goods,Mid-Cap,December-2025,67296609,358.96
Bharat Forge Ltd.,Automobile and Ancillaries,Mid-Cap,December-2025,2367129,343.73
AU Small Finance Bank Ltd.,Financials,Mid-Cap,December-2025,3482552,339.51
SKF India (Industrial) Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,1265629,336.01
Akums Drugs & Pharmaceuticals Ltd.,Healthcare,Small-Cap,December-2025,7510521,330.22
Park Medi World Ltd.,Healthcare,Small-Cap,December-2025,22321070,327.12
IDFC First Bank Ltd.,Financials,Mid-Cap,December-2025,38383273,318.08
Bharat Heavy Electricals Ltd.,Capital Goods,Mid-Cap,December-2025,10826213,313.04
APL Apollo Tubes Ltd.,Metals,Mid-Cap,December-2025,1677166,304.65
Bajaj Housing Finance Ltd.,Financials,Mid-Cap,December-2025,30014805,299.25
Steel Authority Of India Ltd.,Metals,Mid-Cap,December-2025,21044002,296.61
PG Electroplast Ltd.,Consumer Durables,Small-Cap,December-2025,4964954,289.51
Marico Ltd.,FMCG,Mid-Cap,December-2025,3905379,286.65
Colgate-Palmolive (India) Ltd.,FMCG,Mid-Cap,December-2025,1333458,282.98
JIO Financial Services Ltd.,Financials,Large-Cap,December-2025,9343785,280.85
KSH International Ltd.,Capital Goods,Small-Cap,December-2025,7829966,280.00
Amber Enterprises India Ltd.,Consumer Durables,Small-Cap,December-2025,412566,279.88
Lenskart Solutions Ltd.,Healthcare,Mid-Cap,December-2025,6020638,259.23
Tata Elxsi Ltd.,Technology,Small-Cap,December-2025,484298,251.81
Anand Rathi Wealth Ltd.,Financials,Small-Cap,December-2025,834909,250.53
Adani Enterprises Ltd.,Miscellaneous,Large-Cap,December-2025,1105423,249.82
ABB India Ltd.,Capital Goods,Large-Cap,December-2025,466656,241.38
Nippon Life India Asset Management Ltd.,Financials,Mid-Cap,December-2025,2698070,236.79
Petronet LNG Ltd.,Energy,Mid-Cap,December-2025,8483029,235.81
Entero Healthcare Solutions Ltd.,Miscellaneous,Small-Cap,December-2025,2204429,230.29
Piramal Finance Ltd.,Financials,Mid-Cap,December-2025,1416228,226.01
Havells India Ltd.,Capital Goods,Mid-Cap,December-2025,1505988,215.87
City Union Bank Ltd.,Financials,Small-Cap,December-2025,7480474,210.16
Piramal Pharma Ltd.,Healthcare,Small-Cap,December-2025,11670940,209.74
RBL Bank Ltd.,Financials,Small-Cap,December-2025,6667651,209.43
Supreme Industries Ltd.,Consumer Durables,Mid-Cap,December-2025,617945,208.41
Wipro Ltd.,Technology,Large-Cap,December-2025,8117020,208.12
JK Cement Ltd.,Construction,Mid-Cap,December-2025,364374,205.67
Ujjivan Small Finance Bank Ltd.,Financials,Small-Cap,December-2025,38212530,205.24
Ashok Leyland Ltd.,Automobile and Ancillaries,Mid-Cap,December-2025,12163654,205.15
Zydus Lifesciences Ltd.,Healthcare,Mid-Cap,December-2025,2182645,202.64
Container Corporation Of India Ltd.,Logistics,Mid-Cap,December-2025,3860356,200.01
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,Large-Cap,December-2025,16646921,196.64
PNB Housing Finance Ltd.,Financials,Small-Cap,December-2025,2094542,194.46
Info Edge (India) Ltd.,Technology,Mid-Cap,December-2025,1457027,194.06
Ipca Laboratories Ltd.,Healthcare,Mid-Cap,December-2025,1341921,192.70
Tata Capital Ltd.,Financials,Large-Cap,December-2025,5681259,190.25
Dr. Lal Pathlabs Ltd.,Healthcare,Small-Cap,December-2025,1255971,188.93
Cholamandalam Financial Holdings Ltd.,Financials,Mid-Cap,December-2025,1010931,184.95
Vijaya Diagnostic Centre Ltd.,Healthcare,Small-Cap,December-2025,1783450,183.61
Whirlpool Of India Ltd.,Consumer Durables,Small-Cap,December-2025,1791387,176.56
LG Electronics India Ltd.,Consumer Durables,Large-Cap,December-2025,1072092,170.50
Tata Motors Ltd.,Automobile and Ancillaries,Large-Cap,December-2025,4384019,168.24
IndusInd Bank Ltd.,Financials,Mid-Cap,December-2025,1928465,166.11
NBCC (India) Ltd.,Capital Goods,Small-Cap,December-2025,13737341,163.79
Ather Energy Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,2146104,158.03
Tega Industries Ltd.,Capital Goods,Small-Cap,December-2025,809457,156.73
Sudeep Pharma Ltd.,Healthcare,Small-Cap,December-2025,2266058,156.01
Pine Labs Ltd.,Financials,Small-Cap,December-2025,6175468,151.02
United Breweries Ltd.,FMCG,Mid-Cap,December-2025,904070,149.73
Prestige Estates Projects Ltd.,Construction,Mid-Cap,December-2025,908372,148.61
Cohance Lifesciences Ltd.,Healthcare,Small-Cap,December-2025,2709464,148.07
Nephrocare Health Services Ltd.,Healthcare,Small-Cap,December-2025,3122459,146.35
Alivus Life Sciences Ltd.,Healthcare,Small-Cap,December-2025,1610227,146.14
Thermax Ltd.,Capital Goods,Mid-Cap,December-2025,485513,144.26
DLF Ltd.,Construction,Large-Cap,December-2025,2018502,142.41
