Stock Name,Sector,Classification,Month,Net Qty Bought,Approx. Buy Value(In Rs. cr) *
HDFC Bank Ltd.,Financials,Large-Cap,February-2026,78872009,7165.42
Infosys Ltd.,Technology,Large-Cap,February-2026,39966126,5877.07
ICICI Bank Ltd.,Financials,Large-Cap,February-2026,40224461,5498.51
Eternal Ltd.,Retail and Other Services,Large-Cap,February-2026,120027372,3120.21
PB Fintech Ltd.,Financials,Mid-Cap,February-2026,19580739,3070.36
Kotak Mahindra Bank Ltd.,Financials,Large-Cap,February-2026,73942712,3043.51
Bharat Heavy Electricals Ltd.,Capital Goods,Mid-Cap,February-2026,112343042,2963.89
Vishal Mega Mart Ltd.,Retail and Other Services,Mid-Cap,February-2026,171318059,2087.77
HCL Technologies Ltd.,Technology,Large-Cap,February-2026,12689651,1957.18
Coforge Ltd.,Technology,Mid-Cap,February-2026,11989405,1702.26
IndusInd Bank Ltd.,Financials,Mid-Cap,February-2026,18032204,1670.55
Bharti Airtel Ltd.,Media and Communications,Large-Cap,February-2026,8281429,1593.52
Interglobe Aviation Ltd.,Travel,Large-Cap,February-2026,2771017,1305.63
Tata Motors Passenger Vehicles Ltd.,Automobile and Ancillaries,Large-Cap,February-2026,33109456,1212.97
Multi Commodity Exchange Of India Ltd.,Financials,Mid-Cap,February-2026,4787865,1190.10
Tata Consultancy Services Ltd.,Technology,Large-Cap,February-2026,3564970,1026.95
Fractal Analytics Ltd.,Technology,Small-Cap,February-2026,12638173,983.88
Info Edge (India) Ltd.,Technology,Mid-Cap,February-2026,8203285,934.76
One97 Communications Ltd.,Financials,Mid-Cap,February-2026,7811888,873.29
Hexaware Technologies Ltd.,Technology,Mid-Cap,February-2026,13096310,766.82
Steel Authority Of India Ltd.,Metals,Mid-Cap,February-2026,45327175,718.08
National Aluminium Company Ltd.,Metals,Mid-Cap,February-2026,18747853,693.58
Aditya Infotech Ltd.,Miscellaneous,Small-Cap,February-2026,4463435,685.36
Hindustan Unilever Ltd.,FMCG,Large-Cap,February-2026,2656860,625.85
Asian Paints Ltd.,Chemicals,Large-Cap,February-2026,2550816,612.78
Canara Bank,Financials,Large-Cap,February-2026,39281683,598.64
HDFC Life Insurance Company Ltd.,Financials,Large-Cap,February-2026,8079701,584.28
Bandhan Bank Ltd.,Financials,Small-Cap,February-2026,34438672,579.65
Radico Khaitan Ltd.,FMCG,Mid-Cap,February-2026,1848423,506.25
Waaree Energies Ltd.,Capital Goods,Mid-Cap,February-2026,1793913,493.04
Adani Enterprises Ltd.,Miscellaneous,Large-Cap,February-2026,2267575,473.18
ICICI Prudential Life Insurance Company Ltd.,Financials,Mid-Cap,February-2026,7138019,460.88
Coal India Ltd.,Energy,Large-Cap,February-2026,10554275,459.84
Swiggy Ltd.,Retail and Other Services,Mid-Cap,February-2026,14504385,443.47
Ather Energy Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,6405983,426.69
Grasim Industries Ltd.,Diversified,Large-Cap,February-2026,1430866,401.99
JSW Steel Ltd.,Metals,Large-Cap,February-2026,3214788,398.49
Lenskart Solutions Ltd.,Healthcare,Mid-Cap,February-2026,7724236,384.18
GAIL (India) Ltd.,Energy,Large-Cap,February-2026,22786277,383.75
Vodafone Idea Ltd.,Media and Communications,Large-Cap,February-2026,351305910,382.22
Oil & Natural Gas Corporation Ltd.,Energy,Large-Cap,February-2026,13911169,381.63
Tata Consumer Products Ltd.,FMCG,Large-Cap,February-2026,3196894,363.63
Bajaj Finserv Ltd.,Financials,Large-Cap,February-2026,1769827,349.19
Avanti Feeds Ltd.,Miscellaneous,Small-Cap,February-2026,3299424,343.12
Happy Forgings Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,2834944,339.84
Hindustan Zinc Ltd.,Metals,Large-Cap,February-2026,5478858,337.58
360 One Wam Ltd.,Financials,Mid-Cap,February-2026,2974096,332.79
Max Healthcare Institute Ltd.,Healthcare,Mid-Cap,February-2026,3242082,332.11
Mankind Pharma Ltd.,Healthcare,Mid-Cap,February-2026,1466930,320.64
SRF Ltd.,Chemicals,Mid-Cap,February-2026,1175199,316.04
Manappuram Finance Ltd.,Financials,Small-Cap,February-2026,10641511,302.17
Billionbrains Garage Ventures Ltd.,Financials,Mid-Cap,February-2026,16695842,284.27
Indian Railway Catering And Tourism Corporation Ltd.,Travel,Mid-Cap,February-2026,4652366,277.42
Aster DM Healthcare Ltd.,Healthcare,Mid-Cap,February-2026,4567995,275.62
Adani Ports and Special Economic Zone Ltd.,Infrastructure,Large-Cap,February-2026,1826066,268.47
Prestige Estates Projects Ltd.,Construction,Mid-Cap,February-2026,1866324,266.37
Britannia Industries Ltd.,FMCG,Large-Cap,February-2026,423701,251.32
Shree Cement Ltd.,Construction,Mid-Cap,February-2026,93296,247.51
Adani Energy Solutions Ltd.,Energy,Large-Cap,February-2026,2594586,247.31
ICICI Lombard General Insurance Company Ltd.,Financials,Mid-Cap,February-2026,1322278,245.65
Apar Industries Ltd.,Capital Goods,Mid-Cap,February-2026,254528,244.02
Kansai Nerolac Paints Ltd.,Chemicals,Small-Cap,February-2026,10828549,234.82
Container Corporation Of India Ltd.,Logistics,Mid-Cap,February-2026,4636486,231.34
Clean Max Enviro Energy Solutions Ltd.,Energy,Small-Cap,February-2026,2183594,229.93
Adani Green Energy Ltd.,Energy,Large-Cap,February-2026,2540655,228.61
Nestle India Ltd.,FMCG,Large-Cap,February-2026,1652727,216.85
Syngene International Ltd.,Miscellaneous,Small-Cap,February-2026,4822487,215.96
Oberoi Realty Ltd.,Construction,Mid-Cap,February-2026,1424695,214.68
Ambuja Cements Ltd.,Construction,Large-Cap,February-2026,4199685,212.20
Titan Company Ltd.,Retail and Other Services,Large-Cap,February-2026,506095,210.16
Five-Star Business Finance Ltd.,Financials,Small-Cap,February-2026,4782351,208.77
ABB India Ltd.,Capital Goods,Large-Cap,February-2026,354358,206.44
Aavas Financiers Ltd.,Financials,Small-Cap,February-2026,1467097,201.50
Berger Paints India Ltd.,Chemicals,Mid-Cap,February-2026,4377298,201.14
Paradeep Phosphates Ltd.,Chemicals,Small-Cap,February-2026,13818504,179.98
Hyundai Motor India Ltd.,Automobile and Ancillaries,Large-Cap,February-2026,787367,171.71
Mphasis Ltd.,Technology,Mid-Cap,February-2026,677511,171.26
Page Industries Ltd.,Textile,Mid-Cap,February-2026,51925,169.03
Global Health Ltd.,Healthcare,Small-Cap,February-2026,1471058,161.27
Ipca Laboratories Ltd.,Healthcare,Mid-Cap,February-2026,1062014,159.29
Avenue Supermarts Ltd.,Retail and Other Services,Large-Cap,February-2026,417782,157.44
Craftsman Automation Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,206204,153.03
Netweb Technologies India Ltd.,Consumer Durables,Small-Cap,February-2026,428117,149.97
Hitachi Energy India Ltd.,Capital Goods,Mid-Cap,February-2026,67116,149.08
Premier Energies Ltd.,Miscellaneous,Mid-Cap,February-2026,2041866,148.13
Punjab National Bank,Financials,Large-Cap,February-2026,11262247,143.38
Mastek Ltd.,Technology,Small-Cap,February-2026,786964,143.06
Tube Investments of India Ltd.,Automobile and Ancillaries,Mid-Cap,February-2026,562223,143.04
AYE Finance Ltd.,Financials,Small-Cap,February-2026,11938873,142.13
Elgi Equipments Ltd.,Capital Goods,Small-Cap,February-2026,2849380,137.62
Shadowfax Technologies Ltd.,Logistics,Small-Cap,February-2026,11452245,130.42
Narayana Hrudayalaya Ltd.,Healthcare,Mid-Cap,February-2026,716103,128.86
Fortis Healthcare Ltd.,Healthcare,Mid-Cap,February-2026,1431977,128.46
