Stock Name,Sector,Classification,Month,Net Qty Bought,Approx. Buy Value(In Rs. cr) *
Eternal Ltd.,Retail and Other Services,Large-Cap,November-2025,151228837,4671.86
Billionbrains Garage Ventures Ltd.,Financials,Mid-Cap,November-2025,265264628,4214.52
ICICI Bank Ltd.,Financials,Large-Cap,November-2025,26741004,3655.58
ITC Ltd.,FMCG,Large-Cap,November-2025,84741777,3493.93
Mphasis Ltd.,Technology,Mid-Cap,November-2025,12447946,3470.36
HDFC Bank Ltd.,Financials,Large-Cap,November-2025,31356939,3127.65
Lenskart Solutions Ltd.,Healthcare,Mid-Cap,November-2025,62264781,2529.35
Pine Labs Ltd.,Financials,Small-Cap,November-2025,91414334,2283.16
Bajaj Finance Ltd.,Financials,Large-Cap,November-2025,20852741,2168.99
Infosys Ltd.,Technology,Large-Cap,November-2025,13722997,2087.53
Bharti Airtel Ltd.,Media and Communications,Large-Cap,November-2025,9804623,2037.43
BSE Ltd.,Financials,Mid-Cap,November-2025,7114827,1914.39
Tech Mahindra Ltd.,Technology,Large-Cap,November-2025,12237043,1799.88
Physicswallah Ltd.,Retail and Other Services,Mid-Cap,November-2025,139061672,1736.74
Tenneco Clean Air India Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,29430410,1424.28
Hindalco Industries Ltd.,Metals,Large-Cap,November-2025,15932731,1319.43
Ather Energy Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,18018757,1270.23
Sagility Ltd.,Miscellaneous,Small-Cap,November-2025,226603835,1162.70
Container Corporation Of India Ltd.,Logistics,Mid-Cap,November-2025,21597624,1140.90
Shriram Finance Ltd.,Financials,Large-Cap,November-2025,13865704,1109.64
Godrej Consumer Products Ltd.,FMCG,Large-Cap,November-2025,9559841,1082.27
Emmvee Photovoltaic Power Ltd.,Construction,Small-Cap,November-2025,47210066,1025.69
RBL Bank Ltd.,Financials,Small-Cap,November-2025,30459842,972.81
Kotak Mahindra Bank Ltd.,Financials,Large-Cap,November-2025,3992133,843.65
Tata Consultancy Services Ltd.,Technology,Large-Cap,November-2025,2599151,805.18
Mankind Pharma Ltd.,Healthcare,Mid-Cap,November-2025,3359455,778.55
Whirlpool Of India Ltd.,Consumer Durables,Small-Cap,November-2025,6296892,778.04
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,Large-Cap,November-2025,66676115,739.10
Tega Industries Ltd.,Capital Goods,Small-Cap,November-2025,3737456,722.74
Varun Beverages Ltd.,FMCG,Large-Cap,November-2025,14765950,702.27
SRF Ltd.,Chemicals,Mid-Cap,November-2025,2279466,667.63
LG Electronics India Ltd.,Consumer Durables,Large-Cap,November-2025,3888470,646.05
JIO Financial Services Ltd.,Financials,Large-Cap,November-2025,19300018,591.55
Capillary Technologies India Ltd.,Technology,Small-Cap,November-2025,9135333,588.32
Bajaj Auto Ltd.,Automobile and Ancillaries,Large-Cap,November-2025,653143,586.72
PB Fintech Ltd.,Financials,Mid-Cap,November-2025,3163352,570.08
Marico Ltd.,FMCG,Mid-Cap,November-2025,7912176,568.63
DLF Ltd.,Construction,Large-Cap,November-2025,7495221,554.59
L&T Finance Ltd.,Financials,Mid-Cap,November-2025,17698457,515.77
Orkla India Ltd.,FMCG,Small-Cap,November-2025,7336784,505.63
Britannia Industries Ltd.,FMCG,Large-Cap,November-2025,861677,503.33
Bandhan Bank Ltd.,Financials,Small-Cap,November-2025,32350729,496.45
Tata Motors Ltd.,Automobile and Ancillaries,Large-Cap,November-2025,15972698,489.56
Interglobe Aviation Ltd.,Travel,Large-Cap,November-2025,822157,473.83
Amber Enterprises India Ltd.,Consumer Durables,Small-Cap,November-2025,616173,468.83
KEC International Ltd.,Infrastructure,Small-Cap,November-2025,5909214,444.23
PI Industries Ltd.,Chemicals,Mid-Cap,November-2025,1258627,438.82
Wipro Ltd.,Technology,Large-Cap,November-2025,17521759,429.46
Apollo Hospitals Enterprise Ltd.,Healthcare,Large-Cap,November-2025,552045,414.49
Manappuram Finance Ltd.,Financials,Small-Cap,November-2025,14325641,397.14
ASK Automotive Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,8007682,392.82
FSN E-Commerce Ventures Ltd.,Retail and Other Services,Mid-Cap,November-2025,15160401,390.57
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,Large-Cap,November-2025,1046412,379.03
Emcure Pharmaceuticals Ltd.,Healthcare,Small-Cap,November-2025,2770604,378.63
Syngene International Ltd.,Miscellaneous,Small-Cap,November-2025,5775529,374.95
HDFC Asset Management Company Ltd.,Financials,Large-Cap,November-2025,1394411,373.88
AWL Agri Business Ltd.,FMCG,Small-Cap,November-2025,13415723,358.10
Piramal Finance Ltd.,Financials,Small-Cap,November-2025,2599907,347.42
Angel One Ltd.,Financials,Small-Cap,November-2025,1334799,346.79
HCL Technologies Ltd.,Technology,Large-Cap,November-2025,2172495,343.91
Power Grid Corporation Of India Ltd.,Energy,Large-Cap,November-2025,12190693,340.18
Glenmark Pharmaceuticals Ltd.,Healthcare,Mid-Cap,November-2025,1752715,336.29
Vodafone Idea Ltd.,Media and Communications,Mid-Cap,November-2025,351157773,328.16
Sudeep Pharma Ltd.,Healthcare,Small-Cap,November-2025,3937525,304.82
Hindustan Aeronautics Ltd.,Capital Goods,Large-Cap,November-2025,653613,301.39
Info Edge (India) Ltd.,Technology,Mid-Cap,November-2025,2115450,286.48
Maruti Suzuki India Ltd.,Automobile and Ancillaries,Large-Cap,November-2025,178534,286.42
Narayana Hrudayalaya Ltd.,Healthcare,Mid-Cap,November-2025,1522769,281.93
Elgi Equipments Ltd.,Capital Goods,Small-Cap,November-2025,5584797,281.45
Inox Wind Ltd.,Capital Goods,Small-Cap,November-2025,19095581,276.53
Indiamart Intermesh Ltd.,Retail and Other Services,Small-Cap,November-2025,1144442,272.83
ICICI Lombard General Insurance Company Ltd.,Financials,Mid-Cap,November-2025,1361924,269.95
Petronet LNG Ltd.,Energy,Mid-Cap,November-2025,9662645,267.22
PG Electroplast Ltd.,Consumer Durables,Small-Cap,November-2025,4567440,265.33
Tata Elxsi Ltd.,Technology,Mid-Cap,November-2025,479998,254.71
ICICI Prudential Life Insurance Company Ltd.,Financials,Mid-Cap,November-2025,4174998,252.78
Bharat Heavy Electricals Ltd.,Capital Goods,Mid-Cap,November-2025,8903099,247.66
Afcons Infrastructure Ltd.,Infrastructure,Small-Cap,November-2025,5631362,239.94
Gland Pharma Ltd.,Healthcare,Small-Cap,November-2025,1263737,233.06
Bharat Forge Ltd.,Automobile and Ancillaries,Mid-Cap,November-2025,1677066,231.31
Vedanta Ltd.,Metals,Large-Cap,November-2025,4511754,230.00
Delhivery Ltd.,Logistics,Small-Cap,November-2025,4921901,219.55
Tube Investments of India Ltd.,Automobile and Ancillaries,Mid-Cap,November-2025,726624,210.99
Nuvama Wealth Management Ltd.,Financials,Small-Cap,November-2025,289168,210.43
Ashok Leyland Ltd.,Automobile and Ancillaries,Mid-Cap,November-2025,13955820,209.09
City Union Bank Ltd.,Financials,Small-Cap,November-2025,8254870,206.27
Black Box Ltd.,Media and Communications,Small-Cap,November-2025,3743893,199.03
Shree Cement Ltd.,Construction,Large-Cap,November-2025,71587,195.83
Welspun Living Ltd.,Textile,Small-Cap,November-2025,13981806,194.68
Swiggy Ltd.,Retail and Other Services,Mid-Cap,November-2025,4824996,190.17
Time Technoplast Ltd.,Consumer Durables,Small-Cap,November-2025,9126351,189.74
V2 Retail Ltd.,Retail and Other Services,Small-Cap,November-2025,765646,187.27
Dalmia Bharat Ltd.,Construction,Mid-Cap,November-2025,908924,186.61
HDFC Life Insurance Company Ltd.,Financials,Large-Cap,November-2025,2460106,184.03
Siemens Ltd.,Capital Goods,Large-Cap,November-2025,570615,182.41
Max Financial Services Ltd.,Financials,Mid-Cap,November-2025,1120761,182.05
Page Industries Ltd.,Textile,Mid-Cap,November-2025,44825,178.22
NBCC (India) Ltd.,Capital Goods,Small-Cap,November-2025,15211701,178.05
Ujjivan Small Finance Bank Ltd.,Financials,Small-Cap,November-2025,32944378,175.05
Emami Ltd.,FMCG,Small-Cap,November-2025,3283119,174.81
Affle 3i Ltd.,Technology,Small-Cap,November-2025,967385,173.72
Astral Ltd.,Consumer Durables,Mid-Cap,November-2025,1162931,168.10
MTAR Technologies Ltd.,Capital Goods,Small-Cap,November-2025,657128,166.93
Divi's Laboratories Ltd.,Healthcare,Large-Cap,November-2025,252226,166.66
Fujiyama Power Systems Ltd.,Capital Goods,Small-Cap,November-2025,7888107,165.16
ABB India Ltd.,Capital Goods,Large-Cap,November-2025,316435,164.47
Oracle Financial Services Software Ltd.,Technology,Mid-Cap,November-2025,189567,157.55
Bharat Electronics Ltd.,Capital Goods,Large-Cap,November-2025,3616708,151.51
Kalyan Jewellers India Ltd.,Retail and Other Services,Mid-Cap,November-2025,2916740,148.03
Motilal Oswal Financial Services Ltd.,Financials,Mid-Cap,November-2025,1513652,146.63
Global Health Ltd.,Healthcare,Small-Cap,November-2025,1144641,146.37
Akzo Nobel India Ltd.,Chemicals,Small-Cap,November-2025,440766,144.41
