Stock Name,Sector,Classification,Month,Net Qty Sold,Approx. Sell Value(In Rs. cr) *
Infosys Ltd.,Technology,Large-Cap,December-2025,53161392,8440.89
Bajaj Finance Ltd.,Financials,Large-Cap,December-2025,15435406,1562.29
Vedanta Ltd.,Metals,Large-Cap,December-2025,26837847,1516.87
Dixon Technologies (India) Ltd.,Consumer Durables,Mid-Cap,December-2025,943197,1259.31
Lupin Ltd.,Healthcare,Mid-Cap,December-2025,5942606,1245.48
Kaynes Technology India Ltd.,Capital Goods,Mid-Cap,December-2025,2045686,972.01
Bharat Electronics Ltd.,Capital Goods,Large-Cap,December-2025,19868150,805.99
Cummins India Ltd.,Automobile and Ancillaries,Large-Cap,December-2025,1759659,784.25
LTIMindtree Ltd.,Technology,Large-Cap,December-2025,1236327,751.69
Divi's Laboratories Ltd.,Healthcare,Large-Cap,December-2025,1151194,740.76
BSE Ltd.,Financials,Mid-Cap,December-2025,2633009,728.63
Hero MotoCorp Ltd.,Automobile and Ancillaries,Large-Cap,December-2025,1201265,717.49
HCL Technologies Ltd.,Technology,Large-Cap,December-2025,4210011,683.7
Hindalco Industries Ltd.,Metals,Large-Cap,December-2025,7975045,675.92
National Aluminium Company Ltd.,Metals,Mid-Cap,December-2025,22800706,654.8
Hindustan Petroleum Corporation Ltd.,Energy,Mid-Cap,December-2025,11850283,566.77
Bharat Petroleum Corporation Ltd.,Energy,Large-Cap,December-2025,15228233,565.8
Cipla Ltd.,Healthcare,Large-Cap,December-2025,3572558,543.49
Indus Towers Ltd.,Media and Communications,Mid-Cap,December-2025,12456645,510.6
HFCL Ltd.,Media and Communications,Small-Cap,December-2025,71113152,490.54
Oil & Natural Gas Corporation Ltd.,Energy,Large-Cap,December-2025,19291572,466.5
Hindustan Unilever Ltd.,FMCG,Large-Cap,December-2025,1903126,455.08
Maruti Suzuki India Ltd.,Automobile and Ancillaries,Large-Cap,December-2025,272239,443.71
State Bank Of India,Financials,Large-Cap,December-2025,4073950,399.5
Canara Bank,Financials,Large-Cap,December-2025,25304191,387.78
Multi Commodity Exchange Of India Ltd.,Financials,Mid-Cap,December-2025,349782,370.94
Bharti Airtel Ltd.,Media and Communications,Large-Cap,December-2025,1686183,354.7
Nazara Technologies Ltd.,Technology,Small-Cap,December-2025,13386676,354.14
The Phoenix Mills Ltd.,Construction,Mid-Cap,December-2025,1878713,337.26
Coal India Ltd.,Energy,Large-Cap,December-2025,8590216,332.93
Muthoot Finance Ltd.,Financials,Large-Cap,December-2025,880655,332.71
Mphasis Ltd.,Technology,Mid-Cap,December-2025,1105668,309.73
Hitachi Energy India Ltd.,Capital Goods,Mid-Cap,December-2025,144096,290.83
Ambuja Cements Ltd.,Construction,Large-Cap,December-2025,4913607,271.86
Star Health and Allied Insurance Company Ltd.,Financials,Small-Cap,December-2025,5640610,265.94
Siemens Ltd.,Capital Goods,Large-Cap,December-2025,819484,260.61
Tata Consultancy Services Ltd.,Technology,Large-Cap,December-2025,806500,255.82
Sammaan Capital Ltd.,Financials,Small-Cap,December-2025,16750986,250.76
NCC Ltd.,Infrastructure,Small-Cap,December-2025,14798954,245.55
Eicher Motors Ltd.,Automobile and Ancillaries,Large-Cap,December-2025,338067,242.83
Asian Paints Ltd.,Chemicals,Large-Cap,December-2025,832302,234.87
Tata Power Company Ltd.,Energy,Large-Cap,December-2025,5943349,228.73
Bharat Dynamics Ltd.,Capital Goods,Mid-Cap,December-2025,1501737,223.77
CG Power and Industrial Solutions Ltd.,Capital Goods,Large-Cap,December-2025,3181797,210.13
Indian Energy Exchange Ltd.,Energy,Small-Cap,December-2025,14991796,205.02
Bosch Ltd.,Automobile and Ancillaries,Large-Cap,December-2025,55869,201.06
Torrent Pharmaceuticals Ltd.,Healthcare,Large-Cap,December-2025,530340,200.75
Central Depository Services (India) Ltd.,Financials,Small-Cap,December-2025,1306955,200.02
Siemens Energy India Ltd.,Capital Goods,Large-Cap,December-2025,688917,197.02
Polycab India Ltd.,Capital Goods,Large-Cap,December-2025,260007,196.16
Bosch Home Comfort India Ltd.,Consumer Durables,Small-Cap,December-2025,1254291,190.84
Adani Energy Solutions Ltd.,Energy,Large-Cap,December-2025,1838475,185.86
Cyient Ltd.,Technology,Small-Cap,December-2025,1645248,184.38
GE Vernova T&D India Ltd.,Capital Goods,Mid-Cap,December-2025,610476,183.57
Larsen & Toubro Ltd.,Infrastructure,Large-Cap,December-2025,446990,182.21
Hindustan Zinc Ltd.,Metals,Large-Cap,December-2025,3237798,177.7
Exide Industries Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,4745851,174.88
Sun Pharmaceutical Industries Ltd.,Healthcare,Large-Cap,December-2025,983219,174.58
Grasim Industries Ltd.,Diversified,Large-Cap,December-2025,614978,171.22
Persistent Systems Ltd.,Technology,Mid-Cap,December-2025,262984,166.01
Alkem Laboratories Ltd.,Healthcare,Mid-Cap,December-2025,293844,164.43
Acutaas Chemicals Ltd.,Healthcare,Small-Cap,December-2025,902376,159.83
Oberoi Realty Ltd.,Construction,Mid-Cap,December-2025,898101,148.99
Reliance Industries Ltd.,Energy,Large-Cap,December-2025,936833,146.97
GMR Airports Ltd.,Infrastructure,Mid-Cap,December-2025,13407790,142.61
Zee Entertainment Enterprises Ltd.,Media and Communications,Small-Cap,December-2025,14722683,140.92
Bandhan Bank Ltd.,Financials,Small-Cap,December-2025,9476234,140.33
Biocon Ltd.,Healthcare,Mid-Cap,December-2025,3443821,136.42
Dabur India Ltd.,FMCG,Mid-Cap,December-2025,2601838,132.82
Life Insurance Corporation of India,Financials,Large-Cap,December-2025,1465405,128.18
UPL Ltd.,Chemicals,Mid-Cap,December-2025,1611050,125.16
ICICI Lombard General Insurance Company Ltd.,Financials,Mid-Cap,December-2025,632779,124.42
Indian Railway Catering And Tourism Corporation Ltd.,Travel,Mid-Cap,December-2025,1806452,123.86
Aditya Birla Capital Ltd.,Financials,Mid-Cap,December-2025,3361117,120.29
AWL Agri Business Ltd.,FMCG,Small-Cap,December-2025,4824014,119.71
Garden Reach Shipbuilders & Engineers Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,452915,118.6
CRISIL Ltd.,Miscellaneous,Mid-Cap,December-2025,270172,118.14
KEI Industries Ltd.,Capital Goods,Mid-Cap,December-2025,263335,113.31
Glenmark Pharmaceuticals Ltd.,Healthcare,Mid-Cap,December-2025,569057,113.28
Anant Raj Ltd.,Construction,Small-Cap,December-2025,2012765,113.09
Godrej Consumer Products Ltd.,FMCG,Large-Cap,December-2025,878198,103.97
Adani Ports and Special Economic Zone Ltd.,Infrastructure,Large-Cap,December-2025,691134,103.21
Voltas Ltd.,Consumer Durables,Mid-Cap,December-2025,739701,101.25
SRF Ltd.,Chemicals,Mid-Cap,December-2025,324909,97.51
Billionbrains Garage Ventures Ltd.,Financials,Mid-Cap,December-2025,6130305,96.57
The Indian Hotels Company Ltd.,Travel,Large-Cap,December-2025,1257270,93.24
Oracle Financial Services Software Ltd.,Technology,Mid-Cap,December-2025,116289,91.83
United Spirits Ltd.,FMCG,Mid-Cap,December-2025,630781,91.32
Shree Cement Ltd.,Construction,Mid-Cap,December-2025,33824,89.59
GHCL Ltd.,Chemicals,Small-Cap,December-2025,1553682,88.55
Tata Communications Ltd.,Media and Communications,Mid-Cap,December-2025,469099,85.39
IIFL Finance Ltd.,Financials,Small-Cap,December-2025,1313444,78.1
Home First Finance Company India Ltd.,Financials,Small-Cap,December-2025,648073,71.72
Angel One Ltd.,Financials,Small-Cap,December-2025,283083,71.45
ACC Ltd.,Construction,Small-Cap,December-2025,387072,69.45
Krishna Institute of Medical Sciences Ltd,Healthcare,Small-Cap,December-2025,1052441,68.08
Bharti Hexacom Ltd.,Media and Communications,Mid-Cap,December-2025,370212,66.45
Neogen Chemicals Ltd.,Chemicals,Small-Cap,December-2025,553532,63.92
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Mid-Cap,December-2025,253465,63.91
Restaurant Brands Asia Ltd.,Retail and Other Services,Small-Cap,December-2025,10133071,63.53
Aditya Birla Sun Life AMC Ltd.,Financials,Small-Cap,December-2025,818161,63.02
Pricol Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,928782,59.65
Raymond Lifestyle Ltd.,Textile,Small-Cap,December-2025,549772,59.38
Bajaj Auto Ltd.,Automobile and Ancillaries,Large-Cap,December-2025,63128,58.13
K.P.R. Mill Ltd.,Textile,Mid-Cap,December-2025,571655,57.79
Sobha Ltd.,Construction,Small-Cap,December-2025,376380,56.39
TD Power Systems Ltd.,Capital Goods,Small-Cap,December-2025,741933,54.87
Bank Of Baroda,Financials,Large-Cap,December-2025,1838643,53.84
Lloyds Metals & Energy Ltd.,Metals,Mid-Cap,December-2025,421829,53.61
L&T Technology Services Ltd.,Technology,Mid-Cap,December-2025,112352,50.01
HEG Ltd.,Capital Goods,Small-Cap,December-2025,866117,49.87
UNO Minda Ltd.,Automobile and Ancillaries,Mid-Cap,December-2025,384324,49.82
Syngene International Ltd.,Miscellaneous,Small-Cap,December-2025,760289,49.39
Indian Railway Finance Corporation Ltd.,Financials,Large-Cap,December-2025,4070896,49.3
Anthem Biosciences Ltd.,Healthcare,Mid-Cap,December-2025,747898,48.1
MRF Ltd.,Automobile and Ancillaries,Mid-Cap,December-2025,3124,47.68
Pidilite Industries Ltd.,Chemicals,Large-Cap,December-2025,315261,46.54
Mazagon Dock Shipbuilders Ltd.,Automobile and Ancillaries,Large-Cap,December-2025,176511,45.63
Manappuram Finance Ltd.,Financials,Small-Cap,December-2025,1509755,44.8
Sansera Engineering Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,261353,44.77
Mahanagar Gas Ltd.,Energy,Small-Cap,December-2025,371138,43.35
Jyothy Labs Ltd.,FMCG,Small-Cap,December-2025,1476480,43.02
Reliance Power Ltd.,Energy,Small-Cap,December-2025,11273570,42.16
Awfis Space Solutions Ltd.,Miscellaneous,Small-Cap,December-2025,812674,41.8
Transformers & Rectifiers (India) Ltd.,Capital Goods,Small-Cap,December-2025,1494325,41.56
Avenue Supermarts Ltd.,Retail and Other Services,Large-Cap,December-2025,106460,41.41
Aditya Infotech Ltd.,Miscellaneous,Small-Cap,December-2025,273684,41.39
Abbott India Ltd.,Healthcare,Mid-Cap,December-2025,13736,40.59
AIA Engineering Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,102649,40.44
Vikran Engineering Ltd.,Infrastructure,Small-Cap,December-2025,3879832,40.06
Mishra Dhatu Nigam Ltd.,Metals,Small-Cap,December-2025,1174488,39.47
Balrampur Chini Mills Ltd.,FMCG,Small-Cap,December-2025,876993,39.11
Aegis Logistics Ltd.,Miscellaneous,Small-Cap,December-2025,525393,38.91
Bank Of India,Financials,Mid-Cap,December-2025,2673641,38.9
