Stock Name,Sector,Classification,Month,Net Qty Sold,Approx. Sell Value(In Rs. cr) *
State Bank Of India,Financials,Large-Cap,February-2026,77546101,8836.07
Larsen & Toubro Ltd.,Infrastructure,Large-Cap,February-2026,6349874,2606.95
Bajaj Finance Ltd.,Financials,Large-Cap,February-2026,22410432,2158.02
Power Grid Corporation Of India Ltd.,Energy,Large-Cap,February-2026,77056260,2138.87
Vedanta Ltd.,Metals,Large-Cap,February-2026,26348909,1844.36
Bharat Electronics Ltd.,Capital Goods,Large-Cap,February-2026,35152509,1570.75
JIO Financial Services Ltd.,Financials,Large-Cap,February-2026,57439536,1464.42
APL Apollo Tubes Ltd.,Metals,Mid-Cap,February-2026,6719625,1438.1
Maruti Suzuki India Ltd.,Automobile and Ancillaries,Large-Cap,February-2026,893974,1316.69
Godrej Properties Ltd.,Construction,Mid-Cap,February-2026,7827872,1294.65
Sun Pharmaceutical Industries Ltd.,Healthcare,Large-Cap,February-2026,7626908,1270.79
BSE Ltd.,Financials,Large-Cap,February-2026,4459467,1227.27
Aditya Birla Capital Ltd.,Financials,Mid-Cap,February-2026,34989184,1197.07
NTPC Ltd.,Energy,Large-Cap,February-2026,31621443,1166.64
Axis Bank Ltd.,Financials,Large-Cap,February-2026,8266522,1138.42
Polycab India Ltd.,Capital Goods,Large-Cap,February-2026,1390585,1086.32
HDFC Asset Management Company Ltd.,Financials,Large-Cap,February-2026,4154061,1083.03
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,Large-Cap,February-2026,3147707,1074.87
Reliance Industries Ltd.,Energy,Large-Cap,February-2026,7484442,1043.86
Hindalco Industries Ltd.,Metals,Large-Cap,February-2026,10947255,1033.04
Indian Oil Corporation Ltd.,Energy,Large-Cap,February-2026,55820494,978.83
Max Financial Services Ltd.,Financials,Mid-Cap,February-2026,5536508,948.68
Bharat Forge Ltd.,Automobile and Ancillaries,Mid-Cap,February-2026,5628128,943.44
Wipro Ltd.,Technology,Large-Cap,February-2026,40285801,881.98
Aurobindo Pharma Ltd.,Healthcare,Mid-Cap,February-2026,6386352,775.34
GE Vernova T&D India Ltd.,Capital Goods,Mid-Cap,February-2026,2085499,738.32
Shriram Finance Ltd.,Financials,Large-Cap,February-2026,6956679,730.24
Eicher Motors Ltd.,Automobile and Ancillaries,Large-Cap,February-2026,957944,724.83
Tata Steel Ltd.,Metals,Large-Cap,February-2026,32380762,656.45
Marico Ltd.,FMCG,Mid-Cap,February-2026,8085477,613.87
Trent Ltd.,Retail and Other Services,Large-Cap,February-2026,1328849,510.62
Hindustan Petroleum Corporation Ltd.,Energy,Mid-Cap,February-2026,11561804,500.48
Tata Motors Ltd.,Automobile and Ancillaries,Large-Cap,February-2026,10130285,488.18
Bank Of India,Financials,Mid-Cap,February-2026,28636475,487.04
Varun Beverages Ltd.,FMCG,Large-Cap,February-2026,9854558,454.62
Union Bank Of India,Financials,Large-Cap,February-2026,23166603,443.67
Dixon Technologies (India) Ltd.,Consumer Durables,Mid-Cap,February-2026,413620,433.76
Pidilite Industries Ltd.,Chemicals,Large-Cap,February-2026,2941843,429.96
Apollo Hospitals Enterprise Ltd.,Healthcare,Large-Cap,February-2026,549941,406.46
Power Finance Corporation Ltd.,Financials,Large-Cap,February-2026,10050179,398.55
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,Large-Cap,February-2026,32156408,395.91
ITC Ltd.,FMCG,Large-Cap,February-2026,11762880,373.92
Aegis Logistics Ltd.,Miscellaneous,Small-Cap,February-2026,5176461,367.26
ICICI Prudential Asset Management Company Ltd.,Financials,Large-Cap,February-2026,1176615,357.97
Lupin Ltd.,Healthcare,Mid-Cap,February-2026,1581986,352.36
Torrent Pharmaceuticals Ltd.,Healthcare,Large-Cap,February-2026,842269,349.29
Torrent Power Ltd.,Energy,Mid-Cap,February-2026,2277755,336.42
IDFC First Bank Ltd.,Financials,Mid-Cap,February-2026,41894504,329
Lodha Developers Ltd.,Construction,Large-Cap,February-2026,3304506,323.8
Ultratech Cement Ltd.,Construction,Large-Cap,February-2026,245228,311.1
Dr. Reddy's Laboratories Ltd.,Healthcare,Mid-Cap,February-2026,2397047,300.16
NMDC Ltd.,Energy,Mid-Cap,February-2026,36410582,296.66
FSN E-Commerce Ventures Ltd.,Retail and Other Services,Mid-Cap,February-2026,11428166,287.41
Amber Enterprises India Ltd.,Consumer Durables,Small-Cap,February-2026,396989,271.74
TVS Motor Company Ltd.,Automobile and Ancillaries,Large-Cap,February-2026,682215,257.44
Indus Towers Ltd.,Media and Communications,Large-Cap,February-2026,5592855,251.47
JSW Energy Ltd.,Energy,Mid-Cap,February-2026,4764724,225.74
Cipla Ltd.,Healthcare,Large-Cap,February-2026,1674016,223.67
Dabur India Ltd.,FMCG,Mid-Cap,February-2026,4362255,223.59
Blue Star Ltd.,Consumer Durables,Mid-Cap,February-2026,1181100,221.93
Divi's Laboratories Ltd.,Healthcare,Large-Cap,February-2026,351649,219.07
