Stock Name,Sector,Classification,Month,Net Qty Sold,Approx. Sell Value(In Rs. cr) *
State Bank Of India,Financials,Large-Cap,November-2025,25644742,2456.83
Reliance Industries Ltd.,Energy,Large-Cap,November-2025,9165984,1399.57
Canara Bank,Financials,Large-Cap,November-2025,91758950,1323.95
Lupin Ltd.,Healthcare,Mid-Cap,November-2025,4999811,1011.39
Sun Pharmaceutical Industries Ltd.,Healthcare,Large-Cap,November-2025,5597374,985.75
Siemens Energy India Ltd.,Capital Goods,Large-Cap,November-2025,3072268,974.71
Adani Enterprises Ltd.,Miscellaneous,Large-Cap,November-2025,3998902,951.98
Cummins India Ltd.,Automobile and Ancillaries,Large-Cap,November-2025,1922425,848.12
AU Small Finance Bank Ltd.,Financials,Mid-Cap,November-2025,8336136,764.05
Eicher Motors Ltd.,Automobile and Ancillaries,Large-Cap,November-2025,1060337,745.44
Hindustan Petroleum Corporation Ltd.,Energy,Mid-Cap,November-2025,14560257,679.6
Bharat Petroleum Corporation Ltd.,Energy,Large-Cap,November-2025,18967131,678.92
Persistent Systems Ltd.,Technology,Mid-Cap,November-2025,1078401,661.58
GE Vernova T&D India Ltd.,Capital Goods,Mid-Cap,November-2025,2234469,661.27
Cholamandalam Investment and Finance Company Ltd.,Financials,Large-Cap,November-2025,3808972,653.77
Tata Consumer Products Ltd.,FMCG,Large-Cap,November-2025,5437481,635.48
Kaynes Technology India Ltd.,Capital Goods,Mid-Cap,November-2025,983035,599.38
Laurus Labs Ltd.,Healthcare,Mid-Cap,November-2025,5178365,513.95
Bank Of Baroda,Financials,Large-Cap,November-2025,17559386,498.86
Tata Power Company Ltd.,Energy,Large-Cap,November-2025,12270459,487.75
Asian Paints Ltd.,Chemicals,Large-Cap,November-2025,1775903,478.16
Cipla Ltd.,Healthcare,Large-Cap,November-2025,2727122,413.51
Indian Oil Corporation Ltd.,Energy,Large-Cap,November-2025,24578193,402.65
Voltas Ltd.,Consumer Durables,Mid-Cap,November-2025,2907610,401.24
Polycab India Ltd.,Capital Goods,Large-Cap,November-2025,513400,389.52
Indian Bank,Financials,Mid-Cap,November-2025,4315263,373.04
Hindustan Unilever Ltd.,FMCG,Large-Cap,November-2025,1510150,372.43
SBI Life Insurance Company Ltd.,Financials,Large-Cap,November-2025,1897775,372.13
Max Healthcare Institute Ltd.,Healthcare,Large-Cap,November-2025,3166572,365.83
One97 Communications Ltd.,Financials,Mid-Cap,November-2025,2688752,352.74
Avenue Supermarts Ltd.,Retail and Other Services,Large-Cap,November-2025,860861,350.8
Titan Company Ltd.,Retail and Other Services,Large-Cap,November-2025,912687,349.3
Power Finance Corporation Ltd.,Financials,Large-Cap,November-2025,8970143,343.54
Alkem Laboratories Ltd.,Healthcare,Mid-Cap,November-2025,589490,329.86
Hyundai Motor India Ltd.,Automobile and Ancillaries,Large-Cap,November-2025,1315669,313.44
GAIL (India) Ltd.,Energy,Large-Cap,November-2025,16314801,292.73
Bank Of India,Financials,Mid-Cap,November-2025,19273941,276.6
The Indian Hotels Company Ltd.,Travel,Large-Cap,November-2025,3655285,271.61
Navin Fluorine International Ltd.,Chemicals,Small-Cap,November-2025,472392,269.8
Oil & Natural Gas Corporation Ltd.,Energy,Large-Cap,November-2025,10706351,266.92
ACC Ltd.,Construction,Mid-Cap,November-2025,1425733,266.05
LTIMindtree Ltd.,Technology,Large-Cap,November-2025,428620,252.48
Tata Steel Ltd.,Metals,Large-Cap,November-2025,14223564,249.48
IndusInd Bank Ltd.,Financials,Mid-Cap,November-2025,2888105,238.75
Dabur India Ltd.,FMCG,Mid-Cap,November-2025,4664022,234.36
Premier Energies Ltd.,Miscellaneous,Mid-Cap,November-2025,2250786,232.83
